2026-08-22 16:26:22,437 | INFO     | eva.orchestrator.worker:152 | Starting conversation for record EMI-BENCH-0012 on port 10000
2026-08-22 16:26:22,461 | INFO     | eva.assistant.tools.tool_executor:148 | Loaded 0 tool functions from src/eva/assistant/tools/emi_tools.py
2026-08-22 16:26:22,495 | INFO     | eva.assistant.samvaad_server:284 | Samvaad EVA bridge started on ws://localhost:10000/ws
2026-08-22 16:26:22,496 | INFO     | eva.user_simulator.audio_bridge:137 | Connecting to assistant WebSocket: ws://localhost:10000/ws
2026-08-22 16:26:22,520 | INFO     | eva.user_simulator.audio_bridge:161 | Connected to assistant, starting audio tasks
2026-08-22 16:26:22,548 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/judge.yaml
2026-08-22 16:26:22,560 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/simulation.yaml
2026-08-22 16:26:22,560 | INFO     | eva.user_simulator.elevenlabs:193 | Using agent ID from env var: EVA_EN_USER_M
2026-08-22 16:26:22,561 | INFO     | eva.user_simulator.audio_bridge:686 | Starting chunked audio sender (chunk=640 bytes, interval=20ms)
2026-08-22 16:26:22,561 | INFO     | eva.user_simulator.audio_bridge:531 | Starting continuous input stream (chunk: 2000 bytes, interval: 0.25s)
2026-08-22 16:26:23,029 | INFO     | eva.user_simulator.elevenlabs:213 | ElevenLabs conversation started successfully
2026-08-22 16:26:24,021 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:26:24,087 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-22 16:26:30,043 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 16:26:30,043 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:26:30,228 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.07s
2026-08-22 16:26:30,228 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:26:33,031 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:26:33,969 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 16:26:33,969 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:26:41,066 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.01s
2026-08-22 16:26:41,067 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:26:43,032 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:26:52,146 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 16:26:52,147 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:26:52,302 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.09s
2026-08-22 16:26:52,303 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:26:53,033 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:26:54,284 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 16:26:54,284 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:27:00,357 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.02s
2026-08-22 16:27:00,358 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:27:03,034 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:27:08,712 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 16:27:08,713 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:27:08,874 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.04s
2026-08-22 16:27:08,874 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:27:11,095 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 16:27:11,095 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:27:13,035 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:27:21,055 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.00s
2026-08-22 16:27:21,056 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:27:23,037 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:27:30,859 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 16:27:30,859 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:27:31,031 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.05s
2026-08-22 16:27:31,031 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:27:33,011 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 16:27:33,012 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:27:33,038 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:27:36,105 | INFO     | eva.user_simulator.audio_bridge:642 | Assistant ended conversation: assistant_completed
2026-08-22 16:27:36,105 | INFO     | eva.user_simulator.base:145 | Conversation end signaled: assistant_completed
